Abel Briggs,Enhancing Metamorphic Testing Tools For Graphics Drivers,Organization: Android Graphics Tools Team
rishabhptr,ENHANCING STANDS AND DEVROOM SUBMISSION IN OSEM,Organization: FOSDEM
Siddharth Muralee,Enhancing Syzkaller support for NetBSD,Organization: The NetBSD Foundation
Saurabh Singh,Enhancing the 2D Arrangement Demo,Organization: CGAL project
Krezhairo,Enhancing the 2D Regularized Boolean Set Operations Demo,Organization: CGAL project
Rahul Chauhan,Enhancing Visualizations for Biodiversity Data,Organization: R project for statistical computing
Manjunath Bhat,Enriching Model Zoo with Deep Learning Models,Organization: The Julia Language
Filip Fila,Ensuring consistency between the SDDM login manager and the Plasma desktop,Organization: KDE Community
Rajat Mittal,Enumeration of paths and improvements in the Graph Module,Organization: SageMath
Zachary Heins,ETL pipeline development for TCGA data from GDC Portal,Organization: cBioPortal for Cancer Genomics
Simone Degiacomi,EV3 as a storage device,Organization: Open Roberta
Sanket Bansal,EvalAi-ngx,Organization: CloudCV
Kartik Verma,Evaluating Submission Code in Docker Containers,Organization: CloudCV
Ivan Yashchuk,Expand ChainerX Ops: Differentiable Linear Algebra,Organization: NumFOCUS
Ilias Stamatis,Expand libvirt test driver API coverage,Organization: Libvirt
Avinash Agarwal,Expand Sugarizer’s Exerciser Activity,Organization: Sugar Labs
Andrew Kamble,Expanding the receiver to BEIDOU B1C,Organization: GNSS-SDR
Ezequiel Pássaro,Expansion of the TARDIS Atomic Database,Organization: Python Software Foundation
Emilio Cortina Labra,Experiment independent display framework and data format,Organization: CERN-HSF
Fahrozi Fahrozi,Exploring Election and Census Highly Informative Data Nationally for Indonesia ( Eechidna R package),Organization: R project for statistical computing
Anish Gulati,Export Animation for Web,Organization: Synfig
Wilfredo Graterol,Expression block... and more,Organization: Open Roberta
Yash Gupta-2,Extend Camera Control Daemon,Organization: apertus° Association
Ashay Shirwadkar,Extend current processing methods with column-oriented processing via Arrow,Organization: Center for Research in Open Source Software at UC Santa Cruz
Aquib Baig,Extend Librecores.org in terms of User Interactivity and Feedback,Organization: Free and Open Source Silicon Foundation
Ashwin S Shenoy,Extending &amp; Improving Design System React,Organization: Salesforce
O V Adithya Kumar,Extending Alga,Organization: Haskell.Org
Ashneel Das,Extending and Improving Dynamic Learning,Organization: The Processing Foundation
anpandey,Extending Codegen,Organization: SymPy
Atharva Khare,Extending DataFrame library,Organization: Pharo Consortium
Rishav Chourasia,Extending Elichika &amp; ch2o: Parsing jump statements and more,Organization: NumFOCUS
AdLucem,Extending Hasktorch With RNNs and Encoder-Decoder,Organization: Haskell.Org
Kaustubh Trivedi,Extending ModelPolisher to a universal model annotation tool,Organization: National Resource for Network Biology (NRNB)
Hrishikesh Barman,Extending Prombench and adding rule formatting for Prometheus,Organization: Cloud Native Computing Foundation (CNCF)
Igor Antropov,Faces Management workflow improvements,Organization: KDE Community
Saiteja Talluri,Facial Landmark Detector,Organization: OpenCV
Devon Wijesinghe,Fact Bounty Web App Proposal,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Tuan Amith,Fact-Bounty - A web interface for a crowd-driven Fact-checking platform,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Anmol Bansal,Fact-Bounty - Implement a backend for a crowd-driven Fact-checking platform,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Mattia Lavacca,Falco engine performance analysis and optimization,Organization: Cloud Native Computing Foundation (CNCF)
Harsh Jindal,Feature Completion and Standardisation of SUSI.AI Web Projects,Organization: FOSSASIA
Shubham Gupta-2,Feature Completion and Standardization of SUSI.AI Web Projects,Organization: FOSSASIA
Swagato Chatterjee,Feature Recognition in works of Art and Iconographic Artwork Captioning,Organization: Red Hen Lab
iamzub.in,Fedora Gooey Karma,Organization: Fedora Project
Markus Hovorka,FEM Workbench Testing,Organization: BRL-CAD
Aditya Singh-2,Fever prediction model using high-frequency real-time sensor data,Organization: CBMI@UTHSC
MANISH  KUMAR,Fiinwallet Hybrid Mobile App,Organization: The Mifos Initiative
Brock Mammen,File Search,Organization: ReactOS
thealphadollar,Finalising Sample Platform,Organization: CCExtractor Development
Vito Lestingi,Financial Transactions Analytics in blotter,Organization: R project for statistical computing
Saksham Handu,Fineract CN mobile,Organization: The Mifos Initiative
MuhammadFarhan,Firefox Account Security Dashboard,Organization: Mozilla
Akshitha Shetty,Firefox Reader Redesign,Organization: Mozilla
Ahsan Barkati,Firewall Test Suite,Organization: FreeBSD
Agisilaos Kounelis,FixMe,Organization: Mozilla
Liangcheng Yu,Flow Performance Optimization for Data Center Networks in NS-3,Organization: The ns-3 Network Simulator Project
Madhav Vats,Flowchart creator for GenPipes,Organization: Canadian Center for Computational Genomics
Marcel Porta Vallés,Forest analysis and visualization,Organization: Liquid Galaxy project
Parth Patil,FormSet Improvements,Organization: Django Software Foundation
Igor Ershov,Fortune on the high seas,Organization: Catrobat
Jaideep Prasad,FOSSASIA GSOC'19 Proposal: Neurolab-Android,Organization: FOSSASIA
Ákos Hadnagy,FPGA-Accelerated Web Applications,Organization: Free and Open Source Silicon Foundation
Zach,FreeCAD Configuration Management Proposal,Organization: BRL-CAD
Amrita Chaturvedi,FrontEnd UI page for NodeCloud Resource Management,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Sagar Kalra,Fully featured production ready app for both iOS and Android,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Jesse Sigal,Functional Machine Learning with Hasktorch: Produce Functional Machine Learning Model Reference Implementations,Organization: Haskell.Org
Peter Hall,Further Development of Rover Sailboat Support,Organization: Ardupilot.org
ReubenVarghese,Further Improvements to Addons,Organization: OpenMRS
Alexander  Oleinik,Fuzzing QEMU's implementation of VirtIO devices,Organization: QEMU
whiterandrek,Game engine for Red Comrades 1 and Red Comrades 2,Organization: ScummVM
Mukul Khanna,Gazebo documentation index,Organization: Open Source Robotics Foundation
Tyler Lum,Gazebo Robotics Simulator Visual Plugin and Sensor Data Visualization,Organization: Open Source Robotics Foundation
Ankit Priyarup,GDScript Language Server,Organization: Godot Engine
Uddeshya Singh,General UI and startup enhancements,Organization: FOSSASIA
Gennadii Sytov,Generalized Global Regularization,Organization: CGAL project
Mehak Sachdeva,Generalized Modeling and Predictions in Multiscale Geographically Weighted Regression,Organization: Python Software Foundation
Jack Qiu,Generating Hessians and Jacobians via CLAD,Organization: CERN-HSF
Shubham Goyal,Generating QR Code in LibreOffice,Organization: LibreOffice
William Moses,Generation of Annotated Sources,Organization: LLVM Compiler Infrastructure
Ashish Kshirsagar,Generative Adversarial Networks for Particle Physics Applications,Organization: CERN-HSF
Rishi Kaushik,Generic compliance framework for GA4GH APIs,Organization: Global Alliance for Genomics and Health
Dheeraj,Generic Framework to turn legacy drivers consisting of CUPS filters and PPDs into Printer Applications,Organization: The Linux Foundation
Ayush Raj,Gesture Recognition in works of art,Organization: Red Hen Lab
al3xtjames,Ghidra Firmware Utilities,Organization: coreboot
Amine Hilaly,git-bug,Organization: coala
Vladimir Masarik,GitHub integrated benchmarking tool for Prometheus TSDB,Organization: Cloud Native Computing Foundation (CNCF)
Abhinav Gupta,GMsh/XDMF/DOLFIN mesh processing pipeline,Organization: NumFOCUS
Sumaid,GNOME Music: Full stack MusicBrainz integration,Organization: GNOME
Jakob L. Kreuze,GNU Guix - Guix Deploy,Organization: The GNU Project
Miguel Dantas,GNU social - Optimizations on Load Balance System and Storage Usage,Organization: The GNU Project
Shehan Dhaleesha,Go-social Community App - TrackPal,Organization: SCoRe Lab (Sustainable Computing Research Lab)
IronicallySerious,Godot VCS Wide Integration,Organization: Godot Engine
Gaurav Kumar-1,Google Cloud IoT Core Interface in Lua,Organization: LabLua
John Javier Mora Vivar,GORA-485 Apache Kudu datastore for Gora,Organization: The Apache Software Foundation
Xavier Sumba,GORA-527: Implement a data store for REDIS,Organization: The Apache Software Foundation
Tomas Baltrunas,Grad-CAM Neural Network Explanations for ELI5,Organization: Python Software Foundation
Mrinal Dutta,Grafana Dashboards refactoring,Organization: Percona
Thibault Allançon,Graph compression on the development history of software,Organization: Software Heritage
Nina Medić,Graph library with layouting algorithms,Organization: Pharo Consortium
Abhinav Mehndiratta,GraphBLAS Implementation,Organization: The Julia Language
Vikas Gola,Graphical User Interface for Tensorflow,Organization: Biomedical Informatics
Daniyal Jahan,GraphSpace: Diffs for graphs,Organization: National Resource for Network Biology (NRNB)
Sayani Gupta,gravitas: Exploring probability distributions for bivariate temporal granularities,Organization: R project for statistical computing
Marlon E. Cobos,Grinnellian ecological niches and ellipsoids in R,Organization: R project for statistical computing
Divyanshu Thakur,Group Theory,Organization: SymPy
Hang Wu,GSoC 19: GRAPH C++ Boost graph algorithms for pgRouting,Organization: OSGeo
shuang,GSoC 2019 Application Proposal,Organization: PEcAn Project
kangzhiq,GSoC 2019 Proposal of Linear Algebra: Tensor core,Organization: SymPy
Priyanshu Varshney,GSoC 2019 Proposal: Page Forms - add an editable calendar interface,Organization: Wikimedia Foundation
Amr Maghraby,GSoC 2019 | Red Hen Lab OCR,Organization: Red Hen Lab
Harkishen Singh,GSoC 2019: Improving Mind The Word,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Shamroy Pellew,GSoC 2019: Support For Reviewing and Rating More Entities (CritiqueBrainz),Organization: MetaBrainz Foundation Inc
Gautami Gupta,GSoC proposal Public Labs: Notification System and UX Improvements,Organization: Public Lab
Jay Prakash,GSoC Proposal: Develop code samples in Javascript and PHP for API Modules,Organization: Wikimedia Foundation
suyash,GSoC'19 Project Proposal for AIMA-java,Organization: aimacode
Sergey Zvezdakov,GStreamer: Add VMAF filter as plugin in the GStreamer,Organization: Intel Media And Audio For Linux
Xiang Fan,gtk4-rs: GTK 4 Rust Bindings,Organization: GNOME
Rytis Kumpa,Guided Analytics for Clustering Automation project,Organization: KNIME
ratherforky,Hadrian Optimisation,Organization: Haskell.Org
Naveen Naidu,Handle Nested Programming Languages,Organization: coala
Pierre Voué,Hate Speech Annotation and Automatic Assessment: Resource and Best Practices Development,Organization: CLiPS
Lahiru Jayasekara,Hazelcast Jet execution engine support for Apache Gora,Organization: The Apache Software Foundation
Eduard Staniloiu,Header generation for C/C++,Organization: D Programming Language
Swaraj Hota,HEIF Support,Organization: FFmpeg
Ashish Sharma-1,Helm chart for XWiki,Organization: XWiki
realsdx,Heralding: RDP and VNC implementation,Organization: The Honeynet Project
Brian Merchant,High performance piet backend,Organization: Xi Editor
Wyatt Hoodes,Hone Zulip's Development Productivity Tooling,Organization: Zulip Open Source Project
Thomas Hervey,HOT Task Manager Integration,Organization: OpenStreetMap
Ari Madian,Human Centered Education of CC Licenses,Organization: Creative Commons
Jiahuang Lin,Human history and genome evolution project proposal,Organization: Canadian Center for Computational Genomics
Nipun Garg,Hyperspace Delivery Boy,Organization: ScummVM
Abhinandan Sharma,Icons and EOS web page,Organization: Python Software Foundation
Kartikay Bhutani,Icons picker and Custom font generator,Organization: Python Software Foundation
Divy Khare,Image-Sequencer v3: Boosting the performance and adding demonstration based on colorimetry,Organization: Public Lab
Arpitha Raghunandan,Implement a GlobalModuleIndex in ROOT and Cling,Organization: CERN-HSF
Ayush Ranjan Lohani,Implement a machine-readable graph legend interface,Organization: National Resource for Network Biology (NRNB)
Shreyansh Dwivedi,Implement a waitlist for participants and enhance the Admin/User dashboard,Organization: FOSSASIA
Juan Redondo Pizarro,Implement an automated model optimization framework in CTLearn,Organization: Open Astronomy
Aditya Arora,Implement Cache Allocation Technology in BenchExec,Organization: Software and Computational Systems Lab at LMU Munich
Gagandeep Singh,Implement Chart Styles,Organization: LibreOffice
Taapas Agrawal,Implement continue and abort command,Organization: Python Software Foundation
SHUBHAM NARLAWAR,Implement Csmith fuzzer leveraging GCC C Extensions,Organization: GNU Compiler Collection
Mohamed Moanis Ali,Implement Event based Seeding and Multi-Threading,Organization: CERN-HSF
Tharaka Romesh,Implement NodeCloud CLI,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Jarek Samic,Implement OpenCL Deshake Filter,Organization: FFmpeg
Khalid Riyaz,Implement robust evaluation pipeline in EvalAI,Organization: CloudCV
Gaurav Agrawal,Implement side by side diff view in Gitg,Organization: GNOME
Nikita Sirgienko,Implement the import/export of Jupyter notebooks in Cantor,Organization: KDE Community
Evaldas Latoškinas,Implement Visualization Component,Organization: MIT App Inventor
Róbert Vašek,Implement volume snapshotting support into the external Manila provisioner,Organization: Cloud Native Computing Foundation (CNCF)
Sharad Chitlangia,Implementation and Optimisation in ACTS of algorithms exposed in TrackML challenge,Organization: CERN-HSF
John Hartley,Implementation of a sub-gridding framework,Organization: gprMax
Surya P,Implementation of COMPAT_LINUX and COMPAT_NETBSD32 DRM ioctls support for NetBSD kernel,Organization: The NetBSD Foundation
GatCode,Implementation of missing Bricks for Catrobat Language Version 0.992,Organization: Catrobat
Amish Mittal,Implementation of Newsfeed (a social feature) in Rocket.Chat Server,Organization: Rocket.Chat
Martin Skrodzki,Implementing a Fast Distance Computation between Triangle Meshes,Organization: CGAL project
Shalitha Suranga,Implementing an user mentions feature for discussions with additional improvements,Organization: The Apache Software Foundation
Leevi Kerkelä,Implementing automatic white matter parcellation in Nighres,Organization: INCF
muhzi,Implementing behavioral analysis for Android,Organization: The Honeynet Project
Povilas Gibas,Implementing biodiversity data checks for the bdchecks package,Organization: R project for statistical computing
Aniruddha Karajgi,Implementing CHAOSS Metrics with Perceval,Organization: CHAOSS
Saksham Bansal,Implementing Essential Deep Learning Modules,Organization: mlpack
Toshal Agrawal,Implementing Essential Deep Learning Modules,Organization: mlpack
Khurai Kim,Implementing OpenMP Work Stealing Scheduling,Organization: GNU Compiler Collection
Stephen Ermshar,Implementing Parallel Sort Merge Join in AsterixDB,Organization: The Apache Software Foundation
Zhongnian Tao,Implementing the Chinese Encoding for Perl 6,Organization: The Perl Foundation
Hemani Kaul,Implementing the Trash Can in MIT APP INVENTOR,Organization: MIT App Inventor
Miroslav Koberskii,Implementing UPDATE with result set,Organization: MariaDB Foundation
Ferencz Kovács,Import of educational data sets available on the internet,Organization: KDE Community
Xuwei Tan,Imporve DXF Import and Export Proposal,Organization: BRL-CAD
Stefan Stipanovic,Improve (function) attribute inference,Organization: LLVM Compiler Infrastructure
Hideto Ueno,Improve (function) attribute inference,Organization: LLVM Compiler Infrastructure
Swarup N,Improve and Maintain 25 Sugar Activities,Organization: Sugar Labs
usmanmuhd,Improve article recommendation pipeline,Organization: Wikimedia Foundation
Rishav Chakraborty,Improve back-end test coverage and upgrade it to support Python 3,Organization: Oppia Foundation
Rahul Singh,Improve communication with stands and devrooms in Open Source Event Manager,Organization: FOSDEM
__rohit,Improve consistency of sequencer commands,Organization: Git
Omar Ahmad,Improve Cycles/EEVEE For Procedural Content Creation,Organization: Blender Foundation
Mehul Prajapati,Improve Debun tool collected information,Organization: syslog-ng
Utkarsh1308,Improve Diff Handling,Organization: coala
Ilarion Halushka,Improve end-to-end testing infrastructure of React Native client,Organization: Rocket.Chat
Shiva Kanth Sujit,Improve enviroCar Android User Interface &amp; User Experience,Organization: 52°North Initiative for Geospatial Open Source Software GmbH
Bhushan Khanale,Improve Generic Bear Quality,Organization: coala
Mayank_Sharma,Improve Google-Drive support for GVfs,Organization: GNOME
Vishal Desai,Improve hydrus,Organization: Hydra Ecosystem
João Netto,Improve JavaScript support on Okular,Organization: KDE Community
Aditya Sood,Improve Kiwix-Android User Experience &amp; Features,Organization: Kiwix
Seiya Nuta,Improve LLVM binary utilities,Organization: LLVM Compiler Infrastructure
Alexandra Livadas,Improve LORIS Automated Testing,Organization: INCF
Urvashi Verma,Improve p5.js unit tests,Organization: The Processing Foundation
Bowen Chen,Improve PiPot with new features and Continuous Intergration,Organization: CCExtractor Development
Jiradet Ounjai,Improve Shading Language Support in GraphicsFuzz,Organization: Android Graphics Tools Team
Kartikeya Goswami,Improve Signedness Checker,Organization: Checker Framework
Nikhil Mehra,Improve Sugarizer Server Dashboard,Organization: Sugar Labs
Govind Dixit,Improve Test Automation in Rocket.Chat Android Repo,Organization: Rocket.Chat
Veeki Yadav,Improve the 'ftinspect' demo program,Organization: FreeType
Thomas Ip,Improve the developer-friendliness of the frontend toolchain,Organization: Zulip Open Source Project
Ankita Mandal,Improve the interface of Special:ViewData in the Cargo extension,Organization: Wikimedia Foundation
Tanmay Anand,Improve the pdftoraster filter,Organization: The Linux Foundation
Wenzhao Xiang,Improve the performance of JavaScript version of OpenCV (OpenCV.js),Organization: OpenCV
Ahmed Elshreif,Improve the UI testing DSL and the log files for UI actions,Organization: LibreOffice
George Roman,Improve WebDriver support in Servo,Organization: Mozilla
Hemanth V. Alluri,Improve Zulip's Webhooks/Integrations Backend and OpenAPI Systems,Organization: Zulip Open Source Project
Aboelhamd Aly,Improve/Extend weighted transfer rules module,Organization: Apertium
jpetit,Improved Collision Checking for MoveIt,Organization: Open Source Robotics Foundation
Sanjit Chakrabarti,Improved Installation and Home Automation using Hass,Organization: Amahi
Alyaxey Yaskevich,Improvement of Annotatrix project,Organization: Apertium
Romit Kumar,Improvement of OpenSCAD Text-Editor Features,Organization: BRL-CAD
Sumit Chauhan,Improvement to Notebookbar,Organization: LibreOffice
Ankriti Sachan,Improvements in ListView,Organization: MIT App Inventor
Giapitzakis Tzintanos G.,Improvements of the graph module,Organization: SageMath
Baskin Burak Senbaslar,Improvements of the Surface Mesh Simplification package,Organization: CGAL project
Bruno Casteleiro,Improvements on GNU social's network systems,Organization: The GNU Project
Mohammed Nafees,Improvements to Chapel LLVM Backend,Organization: Chapel
Josh Wood,Improvements to Instrument Changes,Organization: MuseScore
Yash Rathore,Improvements to the overall user experience and structure of the Web App (and other minor issues),Organization: Zulip Open Source Project
minraws,Improvements to Visual Scripting System,Organization: Godot Engine
Vipul Sharma-1,Improvements to Zulip’s Desktop app,Organization: Zulip Open Source Project
Chanchal Kumar Maji,Improving and adding more functionality to the TensorFlow-Datasets library with the addition of DatasetBuilders for important research datasets.,Organization: TensorFlow
Albertor,Improving and building Lab challenges and write-ups:,Organization: OWASP Foundation
Shubham Kumar Jha,Improving Assumptions,Organization: SymPy
Saurabh Thakur,Improving CarbonFootprint-API,Organization: AOSSIE - Australian Open Source Software Innovation and Education
Myroslava Romaniuk,Improving Code Completion,Organization: Pharo Consortium
championshuttler,Improving Firefox Source Docs Infrastructure,Organization: Mozilla
Andika Riyandi (Rizary),Improving Hackage Matrix Builder as a Real-world Fullstack Haskell Project,Organization: Haskell.Org
Vijay Tadikamalla,Improving HsYAML Library,Organization: Haskell.Org
Vanderson M. do Rosario,Improving Measurement of Tiny Code Generation Quality,Organization: QEMU
Mohit-thedeveloperr,Improving Message View and Search,Organization: Zulip Open Source Project
Udit Gulati,Improving NMatrix: Adding features to NMatrix core,Organization: Ruby Science Foundation
Jorge Martínez Garrido,Improving poliastro Earth capabilities,Organization: Open Astronomy
Arighna Chakrabarty,Improving Series Expansions,Organization: SymPy
Kanchan Joshi,Improving site navigation for Archive.org,Organization: Internet Archive
Sumanth V Rao,Improving the Aesthetics and Functionality of Zulip’s Terminal Client.,Organization: Zulip Open Source Project
Hèctor Alòs Font,Improving the Catalan-Italian and Catalan-Portuguese language pairs,Organization: Apertium
Bill Dengler,Improving the console experience with UI Automation,Organization: NV Access
Mishal Shah,Improving the ns-3 AppStore and linking with bake,Organization: The ns-3 Network Simulator Project
Onno Kleen,Improving the R package highfrequency,Organization: R project for statistical computing
Upendra Reddy,Improving User Experience with Bots in Android App,Organization: Rocket.Chat
Siddhant .,Improving Vega Editor,Organization: The Vega Project at the University of Washington
sanketsingh24,Improving WebGL functionality of p5.js,Organization: The Processing Foundation
Jason High,Incorporation of Argon2 Password Hashing Algorithm into NetBSD,Organization: The NetBSD Foundation
Archit Agrawal,Increase archive coverage,Organization: Software Heritage
Stefanos Baziotis,Independency of D from the C Standard Library,Organization: D Programming Language
Maximilian Gama,Index Checker Case Study,Organization: Checker Framework
Oriol Abril Pla,Information criteria and convergence assessment tools for ArviZ,Organization: NumFOCUS
Ayush Dosaj,Injecting function-calls to Linux through a hypervisor,Organization: The Honeynet Project
Matheus Richard,Integrate functionality from gem-web into RubyGems gem CLI,Organization: Ruby
Aakash Singh,Integrate JS in VLC,Organization: VideoLAN
Sidhant Gupta,Integrate Mifos Payment Hub with GSMA Mobile Money APIs,Organization: The Mifos Initiative
Andreas Gerstmayr,Integrating bpftrace with Performance Co-Pilot and Vector,Organization: Performance Co-Pilot
Shayantan Banerjee,Integrating genomics and high-frequency physiologic data for sepsis detection,Organization: CBMI@UTHSC
KAPIL GAUTAM,Integrating Google Calendar with Rocket.Chat,Organization: Rocket.Chat
Jan Svoboda,Integrating libSyntax with the Rest of the Compiler Pipeline,Organization: Swift
Ziya ERKOÇ,Integrating PathwayMapper into cBioPortal and Separating the Network View as a standalone module,Organization: cBioPortal for Cancer Genomics
Debashish Roy,Integrating RRPlugins with libRoadRunner and devloping Differential Evolution optimizer plugin,Organization: National Resource for Network Biology (NRNB)
Nguyen Hoang Thien,Integration of ArduPilot and VIO tracking camera for GPS-less localization and navigation,Organization: Ardupilot.org
Sandip Kumar Bhuyan,Integration of Software Heritage in FOSSology,Organization: FOSSology Project
Tommaso Zugno,Integration of the 3GPP TR 38.901 channel model in the ns-3 spectrum module,Organization: The ns-3 Network Simulator Project
Saicharan Reddy,Integration of Various Payment Gateways and Enhancement of Admin/Account functionalities,Organization: FOSSASIA
Quentin MATILLAT,Intel Embree BVH for GPU,Organization: Blender Foundation
Fongang Rodrique,Interactive APIs documentation,Organization: Rocket.Chat
Aman Singla,Interactive Book,Organization: CircuitVerse.org
Sachin Chopra,Interactive Exercises Platform for AIMACode,Organization: aimacode
Daniel Matarov,Interactive Music for Godot Engine,Organization: Godot Engine
Shashwat Shrivastava,Interactive RCIS Project Proposal,Organization: RoboComp
Nikhil Vats,Interactive Yeoman generator for BioJS components,Organization: Open Bioinformatics Foundation
Naomi Pfaff,Interesting Female Teenagers in Coding Through the Use of a Well-designed Serious Game,Organization: Catrobat
Igor Almeida Baratta,Interface to KaHIP partitioner,Organization: NumFOCUS
Ankur Kumar,Intermine Cloud: Making Intermine cloud native and easing deployments,Organization: InterMine
deepak,InterMine Schema Validator,Organization: InterMine
Rahul-07,InterMine single sign-in,Organization: InterMine
Sharad Shukla,IPP: ipptool test suite updates for IPP errata updates,Organization: The Linux Foundation
Aakash Lahoti,ipptool test suite for IPP System Service,Organization: The Linux Foundation
Urvil Patel,IPTables Integration with  OPEN POLICY AGENT(OPA),Organization: Cloud Native Computing Foundation (CNCF)
Aditya Samantaray,IREGNET on CRAN,Organization: R project for statistical computing
Rashad Gover,Issue-Wanted Web Application,Organization: Haskell.Org
Akshat Bhargava,Javascript Data Visualisations,Organization: InterMine
Renato Aurelio Totti,JavaScript library for data simulation and acquisition,Organization: Liquid Galaxy project
Valentin Ionita,JavaScript Polyfills,Organization: Inkscape
Pantelis Tzamalis,JBoss - Release Notes Generation Tool,Organization: JBoss Community
Shyngyskhan Abilkassov,JdeRobot’s Robotics Academy: Amazon Warehouse Robots exercise integration,Organization: JdeRobot - Universidad Rey Juan Carlos
hrxi,Jingle File Transfer Support for Dino,Organization: XMPP Standards Foundation (XSF)
Stefan Bechert,Jira plugin for jQAssistant,Organization: Institut für Angewandte Informatik (InfAI) e.V.
Fares Mehanna,JPEG 1992 lossless encoder core,Organization: apertus° Association
Jiacheng Xu,JSON Dataset Reader - TensorFlow I/O,Organization: TensorFlow
Akhilesh Kumar,JSON Web API for BookBrainz,Organization: MetaBrainz Foundation Inc
Guilherme Bodin,JuMP Automatic Dualization,Organization: NumFOCUS
Xiao Xiao,K-DOP tree,Organization: CGAL project
Brooks Karlik,Kalman Filter in Rust,Organization: CERN-HSF
Inoki,KDE Connect for macOS port,Organization: KDE Community
Piyush Aggarwal,KDE Connect for Windows,Organization: KDE Community
Farid Boudedja,KDE ISO Image Writer,Organization: KDE Community
Franciszek Górski,Kea statistics enhancements,Organization: Internet Systems Consortium
Costin Carabaș,Kernel sanitizers,Organization: FreeBSD
SonGeon,kmarkdown-qtview with WYSIWYG markdown editor,Organization: KDE Community
Themistoklis Spanoudis,Ksat: Visualizing multi-dimensional evolution on system and subsystem level,Organization: AerospaceResearch.net
Vineeth Pothulapati,Kubectl Plugin For Postgres Custom Resource Definitions,Organization: The Postgres Operator
Junjun LI,Kubernetes with hardware devices topology awareness at node level,Organization: Cloud Native Computing Foundation (CNCF)
Tushar Varshney,LabelLab,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Abhishek Sharma,Laying down base architecture,Organization: OWASP Foundation
Ronit Jorvekar,Learning acceptable social behaviour using machine learning techniques,Organization: RoboComp
Vaibhav Kansagara,Learning to Rank Stabilisation,Organization: Xapian Search Engine Library
Xavier Weber,Learning-based Super Resolution,Organization: OpenCV
Jaeweon Shin,LiberTEM : Distributed algorithms for dimensionality reduction methods on scanning transmission electron microscopy (STEM) data,Organization: Python Software Foundation
Karina,LiberTEM: Development of the pipeline for crystallography analysis including GUI development,Organization: Python Software Foundation
Alex Brachet,libObjectcopy,Organization: LLVM Compiler Infrastructure
Alexey Andreyev,LibQMatrixClient end-to-end encryption support,Organization: Matrix.org
Joan Pascual Sanahuja,Library to export/import public datasets to Retroshare network,Organization: freifunk
Kartik Kumar,LibreCAD 3 OpenGL Rendering,Organization: BRL-CAD
Rasmus Jonsson,LibreOffice Appliances,Organization: LibreOffice
Kaishu Sahu,LibreOffice for Android(Online),Organization: LibreOffice
darshan3,Light And Shadow Remastered,Organization: The Terasology Foundation
Gray Olson,Light Paths Visualization and Viewport Unification,Organization: appleseedhq
Madeleine Goebel,Linking Perl 6 Programs,Organization: The Perl Foundation
Moulik Aggarwal,Linter for oclif,Organization: Salesforce
Sreyas,Liquid Galaxy Controller Application Redesign,Organization: Liquid Galaxy project
Ivan Colomer Vallejo,Liquid Galaxy For Education,Organization: Liquid Galaxy project
Rijul Saini,Live Synchronization Skeleton for CoEditing in Che and Theia,Organization: The Eclipse Foundation
Kautilya Tripathi,Livechat: Real-Time Visitor Monitoring,Organization: Rocket.Chat
Reshabh Sharma,LLVM Code Generation for RISC-V Open Source GPU,Organization: Free and Open Source Silicon Foundation
Ilario Gelmetti,Load-correlated distributed bandwidth analysis for LibreMesh networks,Organization: freifunk
TAWRUN VANKINEENI,Location based Access Control - Phase 2,Organization: OpenMRS
Deepak Singh Rathore,Lua graphing library,Organization: LuaRocks
Brandon Escamilla,MaaS (Molto-IT as a Service),Organization: AerospaceResearch.net
Shivank Garg,MAC policy on IP addresses for FreeBSD Jail,Organization: FreeBSD
Insiyah Hajoori,Machine Learning Model Support for Digital Pathology,Organization: Biomedical Informatics
Aditya Malshikhare,Machine Learning on Health- Keeping Telemetry for Cubesat Awareness and Diagnostics,Organization: Libre Space Foundation
Debanjana Kar,Machine Translation Metric leveraging FrameNet,Organization: FrameNet Brasil at the Federal University of Juiz de Fora
Rajdeep Bharati,Macports Custom Views Plugin for Buildbot,Organization: MacPorts
akshatg,Make C/C++ not automatically promote memory_order_consume to memory_order_acquire,Organization: GNU Compiler Collection
SHIVANSH BINDAL,Make notification counts update without page reload,Organization: Wikimedia Foundation
Yasith Jayawardana,Make OODT Deployment Simple Using Docker and Distributed Configuration Management,Organization: The Apache Software Foundation
Necip Fazil Yildiran,Make OpenGR be able to work directly with CGAL point clouds,Organization: CGAL project
Matheus Tavares,Make pack access code thread-safe,Organization: Git
Jacob Garber,Making Coreboot Coverity Clean,Organization: coreboot
Mehant Kammakomati,Making Installation of Bassa and Containerize in a Better Way,Organization: SCoRe Lab (Sustainable Computing Research Lab)
Abhinav Khare,Making nextgen of Open Event Production ready for Eventyay,Organization: FOSSASIA
Fawad Ali,Map Application,Organization: XWiki
Divya Baid,Mapknitter Image Management and Synchronous Editing,Organization: Public Lab
